n_in,temp,generation,mean_reservoir_hamming
1,0.7,63,0.0
1,0.7,64,0.0
1,0.7,65,0.0
1,0.7,66,0.0
1,0.7,67,0.0
1,0.7,68,0.0
1,0.7,69,0.0
1,0.7,70,0.0
1,0.7,71,0.0
1,0.7,72,0.0
1,0.7,73,0.0
1,0.7,74,0.0
1,0.7,75,0.0
1,0.7,76,0.0
1,0.7,77,0.0
1,0.7,78,0.0
1,0.7,79,0.0
1,0.7,80,0.0
1,0.7,81,0.0
1,0.7,82,0.0
1,0.7,83,0.0
1,0.7,84,0.0
1,0.7,85,0.0
1,0.7,86,0.0
1,0.7,87,0.0
1,0.7,88,0.0
1,0.7,89,0.0
1,0.7,90,0.0
1,0.7,91,0.0
1,0.7,92,0.0
1,0.7,93,0.0
1,0.7,94,0.0
1,0.7,95,0.0
1,0.7,96,0.0
1,0.7,97,0.0
1,0.7,98,0.0
1,0.7,99,0.0
1,0.7,100,0.0
1,0.7,101,0.0
1,0.7,102,0.0
1,0.7,103,0.0
1,0.7,104,0.0
1,0.7,105,0.0
1,0.7,106,0.0
1,0.7,107,0.0
1,0.7,108,0.0
1,0.7,109,0.0
1,0.7,110,0.0
1,0.7,111,0.0
1,0.7,112,0.0
1,0.7,113,0.0
1,0.7,114,0.0
1,0.7,115,0.0
1,0.7,116,0.0
1,0.7,117,0.0
1,0.7,118,0.0
1,0.7,119,0.0
1,0.7,120,0.0
1,0.7,121,0.0
1,0.7,122,0.0
1,0.7,123,0.0
1,0.7,124,0.0
1,0.7,125,0.0
1,0.7,126,0.0
1,0.7,127,0.0
1,0.7,128,0.0
1,0.7,129,0.0
1,0.7,130,0.0
1,0.7,131,0.0
1,0.7,132,0.0
1,0.7,133,0.0
1,0.7,134,0.0
1,0.7,135,0.0
1,0.7,136,0.0
1,0.7,137,0.0
1,0.7,138,0.0
1,0.7,139,0.0
1,0.7,140,0.0
1,0.7,141,0.0
1,0.7,142,0.0
1,0.7,143,0.0
1,0.7,144,0.0
1,0.7,145,0.0
1,0.7,146,0.0
1,0.7,147,0.0
1,0.7,148,0.0
1,0.7,149,0.0
1,0.9,0,36.5
1,0.9,1,33.25
1,0.9,2,33.75
1,0.9,3,31.0
1,0.9,4,32.0
1,0.9,5,29.75
1,0.9,6,26.75
1,0.9,7,28.0
1,0.9,8,27.25
1,0.9,9,26.5
1,0.9,10,26.25
1,0.9,11,22.25
1,0.9,12,22.5
1,0.9,13,18.0
1,0.9,14,18.25
1,0.9,15,19.5
1,0.9,16,16.0
1,0.9,17,16.75
1,0.9,18,18.0
1,0.9,19,16.25
1,0.9,20,12.0
1,0.9,21,12.5
1,0.9,22,11.0
1,0.9,23,11.5
1,0.9,24,9.25
1,0.9,25,7.75
1,0.9,26,6.75
1,0.9,27,6.5
1,0.9,28,4.5
1,0.9,29,5.0
1,0.9,30,3.5
1,0.9,31,2.0
1,0.9,32,1.75
1,0.9,33,1.5
1,0.9,34,2.0
1,0.9,35,1.5
1,0.9,36,0.75
1,0.9,37,0.5
1,0.9,38,0.0
1,0.9,39,0.0
1,0.9,40,0.0
1,0.9,41,0.0
1,0.9,42,0.0
1,0.9,43,0.0
1,0.9,44,0.0
1,0.9,45,0.0
1,0.9,46,0.0
1,0.9,47,0.0
1,0.9,48,0.0
1,0.9,49,0.0
1,0.9,50,0.0
1,0.9,51,0.0
1,0.9,52,0.0
1,0.9,53,0.0
1,0.9,54,0.0
1,0.9,55,0.0
1,0.9,56,0.0
1,0.9,57,0.0
1,0.9,58,0.0
1,0.9,59,0.0
1,0.9,60,0.0
1,0.9,61,0.0
1,0.9,62,0.0
1,0.9,63,0.0
1,0.9,64,0.0
1,0.9,65,0.0
1,0.9,66,0.0
1,0.9,67,0.0
1,0.9,68,0.0
1,0.9,69,0.0
1,0.9,70,0.0
1,0.9,71,0.0
1,0.9,72,0.0
1,0.9,73,0.0
1,0.9,74,0.0
1,0.9,75,0.0
1,0.9,76,0.0
1,0.9,77,0.0
1,0.9,78,0.0
1,0.9,79,0.0
1,0.9,80,0.0
1,0.9,81,0.0
1,0.9,82,0.0
1,0.9,83,0.0
1,0.9,84,0.0
1,0.9,85,0.0
1,0.9,86,0.0
1,0.9,87,0.0
1,0.9,88,0.0
1,0.9,89,0.0
1,0.9,90,0.0
1,0.9,91,0.0
1,0.9,92,0.0
